总台,#genre#
淮南民生, http://112.30.194.221:20080/live/6e43da3335a640b3a73c948fccf935c5/hls.m3u8
黄山新闻综合, http://hslive.hsnewsnet.com/lsdream/hve9Wjs/1000/live.m3u8?zanhd
黄山文旅频道, http://hslive.hsnewsnet.com/lsdream/iY92ady/1000/live.m3u8?zanhd
六安综合, http://43.129.81.169/live.ahsx.ahtv.cn/live/latv.m3u8
芜湖新闻综合, http://43.129.81.169/live.ahsx.ahtv.cn/live/whpd.m3u8
宣城综合, http://43.129.81.169/live.ahsx.ahtv.cn/live/xctv.m3u8

北京,#genre#
纪实科教, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225675/index.m3u8
KAKU少儿, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225677/index.m3u8

重庆,#genre#
重庆汽摩, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225506/index.m3u8?fmt=ts2hls
铜梁综合, http://183.64.174.171:40123/ch1.m3u8
潼南综合, http://183.230.184.51:65500/tntv1.m3u8

广东,#genre#
广东民生, http://183.11.239.36:808/hls/18/index.m3u8
嘉佳卡通, http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226193/index.m3u8
河源综合, http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共, http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
阳江1, https://live.yjtvw.com:8081/live/yjtv1.m3u8
阳江2, https://live.yjtvw.com:8081/live/yjtv2.m3u8
云浮综合, http://livestream.oeeee.com/slive/17806.m3u8
云浮文旅, http://livestream.oeeee.com/slive/17807.m3u8

广西,#genre#
南宁新闻综合, https://hls.nntv.cn/nnlive/XWZH_24.m3u8
南宁公共, https://hls.nntv.cn/nnlive/GGPD_24.m3u8
南宁文旅生活, https://hls.nntv.cn/nnlive/WLSH_24.m3u8
南宁影视娱乐, https://hls.nntv.cn/nnlive/YSYL_244.m3u8
南宁慢直播, https://hls.nntv.cn/nnlive/LYL1_24.m3u8
贺州综合, http://zhz.gxhzxw.com:2935/live/HZXW-HD/playlist.m3u8

贵州,#genre#
黔南1台, http://tvfile.qntv.net/nmip-media/channellive/channel108689/playlist.m3u8
黔南2台, http://tvfile.qntv.net/nmip-media/channellive/channel109066/playlist.m3u8

海南,#genre#
海口1台, http://183.255.46.4:16080/live/tv01qnuu8lxfc0rj.m3u8
海口2台, http://183.255.46.4:16080/live/tv02bueim7p8prw4.m3u8
海口3台, http://183.255.46.4:16080/live/tv03fu70esbaw9si.m3u8

河北,#genre#
张家口1台, http://nlive.zjkgdcs.com:8091/live/xwzhpd.m3u8
张家口2台, http://nlive.zjkgdcs.com:8091/live/zjktv2.m3u8

河南,#genre#
梨园频道, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225581/index.m3u8?fmt=ts2hls
文物宝库, http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221226328/2/index.m3u8
武术世界, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225508/index.m3u8?fmt=ts2hls
周口川汇频道, http://117.159.72.12:8081/live/6520562530090312540.m3u8
周口公共频道, http://117.159.72.12:8081/live/8606202505932165833.m3u8
周口教育频道, http://117.159.72.12:8081/live/2548854934748691151.m3u8

黑龙江,#genre#
哈尔滨新闻综合, http://stream.hrbtv.net/xwzh/sd/live.m3u8
哈尔滨生活, http://stream.hrbtv.net/shpd/sd/live.m3u8
哈尔滨影视, http://stream.hrbtv.net/yspd/sd/live.m3u8
哈尔滨.巴彦电视台, https://rmplive.hljtv.com/live/bayan.m3u8
哈尔滨.宾县综合, https://rmplive.hljtv.com/live/binxian.m3u8
哈尔滨.方正综合, https://rmplive.hljtv.com/live/fangzheng.m3u8
哈尔滨.呼兰综合, https://rmplive.hljtv.com/live/hulan.m3u8
哈尔滨.尚志综合, https://rmplive.hljtv.com/live/shangzhi.m3u8
哈尔滨.通河县综合频道, https://rmplive.hljtv.com/live/tonghe.m3u8
哈尔滨.五常综合, https://rmplive.hljtv.com/live/wuchang.m3u8
哈尔滨.延寿综合, https://rmplive.hljtv.com/live/yanshou.m3u8
哈尔滨.依兰综合, https://rmplive.hljtv.com/live/yilan.m3u8
